Entity,Maternal mortality ratio,GDP per capita,Population,Births attended by skilled health staff,"Mortality rate, neonatal","Fertility rate, total"
Czechia,3,38824.88672,10531315,99.80000305,0.160000002,1.690000057
Democratic Republic of Congo,473,1059.810791,84283272,,2.85,6.017000198
Denmark,4,55356.67969,5737286,94.69999695,0.279999995,1.75
Djibouti,248,4885.205078,1040242,,3.25,2.785000086
Dominican Republic,95,16735.36523,10647247,,2.439999962,2.367000103
Ecuador,59,11617.91211,16696947,96.40000153,0.69000001,2.450999975
Egypt,37,11014.48633,101789384,,1.15,3.369999886
El Salvador,46,8454.051758,6266661,99.90000153,0.7,2.059000015
Equatorial Guinea,301,22550.95898,1450703,,3.05,4.598999977
Eritrea,480,1725,3396933,,1.889999962,4.111999989
Estonia,9,33821.93359,1317550,99.19999695,0.120000005,1.590000033
Eswatini,437,8408.036133,1151397,,2.15,3.017999887
Ethiopia,401,2021.562866,108197944,,2.970000076,4.349999905
Fiji,34,13429.30078,919022,,1.060000038,2.788000107
Finland,3,47570.13281,5508146,99.90000153,0.139999998,1.49000001
France,8,44577.06641,64144092,98,0.25999999,1.889999986
Gabon,252,15006.84375,2140225,,2.089999962,4.007999897
Gambia,597,2072.646729,2381189,,2.779999924,5.281000137
Georgia,25,13589.70703,3771904,,0.580000019,2.062000036
Germany,7,53071.45703,82624368,98.80000305,0.229999995,1.570000052
Ghana,308,5115.906738,30222266,78.09999847,2.470000076,3.926000118
Greece,3,28604.86133,10692230,99.93000031,0.25999999,1.350000024
Grenada,25,16217.5,120934,100,1.110000038,2.082999945
Guatemala,95,8322.216797,16578718,,1.239999962,2.920000076
Guinea,576,2417.803711,12240791,,3.110000038,4.77699995
Guinea-Bissau,667,1925.237793,1879835,,3.75,4.552999973
Guyana,169,12005.40527,763265,,1.910000038,2.484999895
Haiti,480,3153.299316,10863546,41.59999847,2.620000076,2.986000061
Honduras,65,5561.994629,9626845,74,0.980000019,2.496000051
Hungary,12,29501.12109,9788940,99.69999695,0.24000001,1.539999962
Iceland,4,55638.49219,343641,98,0.110000002,1.710000038
India,145,6182.921875,1354195712,,2.370000076,2.243000031
Indonesia,177,10935.63184,264498848,93.25,1.310000038,2.335999966
Iran,16,14535.87402,84505080,,0.919999981,2.115999937
Iraq,79,10526.37109,39621156,,1.589999962,3.762000084
Ireland,5,77749.20313,4771860,,0.220000005,1.769999981
Israel,3,39121.29688,8309256,,0.2,3.109999895
Italy,2,41581.12109,60004024,,0.2,1.320000052
Jamaica,80,9600.104492,2808388,,1.030000019,1.993000031
Japan,5,41505.08203,126662464,99.90000153,0.089999998,1.429999948
Jordan,46,10003.5752,10215384,,0.969999981,2.848999977
Kazakhstan,10,24862.9668,18314822,99.90000153,0.49000001,2.75
Kenya,342,4203.584961,48948140,,2.179999924,3.572000027
Kiribati,92,2235.707275,120378,,2.279999924,3.609999895
Kuwait,12,50855.55469,4124904,,0.49000001,2.082999945
Kyrgyzstan,60,5046.691406,6121266,,1.339999962,3
Laos,185,7257.812012,6997925,64.40000153,2.35,2.709000111
Latvia,19,28673.5625,1954861,99.90000153,0.24000001,1.690000057
Lebanon,29,16043.06055,6109255,,0.44000001,2.096999884
